CAD Event Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,District/Sector,Census Tract,Longitude,Latitude,Officers at Scene
16000105138,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 21:20:00,H,10200.1017,-122.26053,47.551094,1
16000105065,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 21:18:00,E,8400.2009,-122.32135,47.611904,2
16000105216,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 21:22:00,S,11001.2,-122.28564,47.546055,1
16000105206,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 21:26:00,R,10402.2,-122.30466,47.559605,2
16000105165,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 21:21:00,W,10500.1017,-122.38146,47.561104,2
16000105134,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 21:27:00,L,100.4,-122.29312,47.733757,0
16000105132,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 21:23:00,H,8200.1006,-122.33426,47.6126,1
16000105031,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 21:30:00,D,7200.3005,-122.34574,47.617023,2
16000105238,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 21:39:00,M,8200.1006,-122.33335,47.611607,2
16000105237,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 21:37:00,E,8500.1015,-122.32763,47.60534,1
16000105221,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 21:46:00,M,7200.1058,-122.33897,47.614777,0
16000105175,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 21:35:00,F,9900.2012,-122.3609,47.56025,3
16000105120,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 21:35:00,C,7900.3002,-122.31148,47.612225,3
16000105250,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-26 21:55:00,R,10100.4001,-122.29197,47.57039,4
16000105236,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 21:41:00,E,8300.1008,-122.32546,47.609695,0
16000105095,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 21:40:00,H,7000.3007,-122.355385,47.62678,3
16000104952,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,2016-03-26 21:40:00,D,7300.2016,-122.33035,47.61789,1
16000105265,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 22:09:00,R,9400.4013,-122.313805,47.581013,2
16000105261,246,"NOISE DISTURBANCE, RESIDENTIAL",NOISE DISTURBANCE,DISTURBANCES,2016-03-26 22:10:00,F,11300.3001,-122.348015,47.52465,1
16000105247,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 21:59:00,D,7200.1003,-122.33975,47.623215,1
16000105227,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 21:52:00,U,5302.3057,-122.304596,47.647484,1
16000105218,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 21:56:00,K,9200.2028,-122.33081,47.600464,4
16000105109,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 21:56:00,L,1200.2,-122.31782,47.706284,2
16000105296,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 22:33:00,M,8200.1006,-122.3328,47.61184,3
16000105294,161,TRESPASS,TRESPASS,TRESPASS,2016-03-26 22:42:00,D,7300.3013,-122.33506,47.61968,0
16000105287,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 22:26:00,H,8001.3024,-122.35487,47.615032,1
16000105281,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 22:40:00,E,7500.3003,-122.31991,47.623123,1
16000105280,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 22:15:00,R,9400.4006,-122.31469,47.58412,3
16000105278,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 22:16:00,H,9200.2028,-122.33081,47.600464,3
16000105275,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 22:21:00,G,8700.2003,-122.306335,47.606167,0
16000105270,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 22:16:00,H,9800.1021,-122.38658,47.580254,1
16000105267,161,TRESPASS,TRESPASS,TRESPASS,2016-03-26 22:25:00,M,8002.1001,-122.3424,47.612118,3
16000105260,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 22:23:00,L,100.3006,-122.29284,47.723797,4
16000105258,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 22:33:00,H,11402.2008,-122.35583,47.5181,1
16000105254,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 22:13:00,K,8100.1035,-122.33428,47.602554,2
16000105252,363,MISSING PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",2016-03-26 22:53:00,L,1900.1012,-122.327774,47.696815,2
16000105229,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 22:20:00,B,3400.1007,-122.366035,47.675625,3
16000105211,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 22:25:00,L,100.5004,-122.2932,47.7229,0
16000105156,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2016-03-26 22:18:00,N,401.1009,-122.34499,47.725037,2
16000105055,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2016-03-26 22:10:00,L,100.4,-122.29312,47.733757,0
16000105014,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 22:16:00,H,200.4001,-122.3114,47.733936,2
16000105325,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 22:58:00,E,7500.501,-122.320404,47.61524,1
16000105318,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 22:55:00,K,9200.2006,-122.33288,47.6013,0
16000105312,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 22:53:00,M,8100.2011,-122.33653,47.607533,0
16000105310,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 22:49:00,K,9200.2034,-122.330345,47.59999,4
16000105302,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 22:53:00,B,4700.3019,-122.379616,47.66867,1
16000105299,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-26 22:42:00,D,8001.2008,-122.34586,47.61299,0
16000105291,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 22:57:00,N,1400.301,-122.363625,47.702625,1
16000105285,161,TRESPASS,TRESPASS,TRESPASS,2016-03-26 23:00:00,E,8400.1008,-122.32077,47.613518,2
16000105271,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,2016-03-26 22:59:00,Q,6700.2031,-122.34756,47.62672,2
16000105251,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 22:44:00,L,1200.3003,-122.321915,47.708588,2
16000105249,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 22:57:00,L,2000.1011,-122.306335,47.693027,2
16000105219,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,2016-03-26 22:33:00,G,9100.1004,-122.31964,47.599182,2
16000105143,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 22:55:00,U,3800.2001,-122.2972,47.68305,2
16000105087,62,BICYCLE THEFT,THEFT,BIKE,2016-03-26 22:35:00,B,3200.4017,-122.39698,47.668633,3
16000105345,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 23:12:00,O,9300.3019,-122.329056,47.579807,3
16000105338,246,"NOISE DISTURBANCE, RESIDENTIAL",NOISE DISTURBANCE,DISTURBANCES,2016-03-26 23:16:00,H,8600.3012,-122.320076,47.60269,1
16000105330,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 23:23:00,B,4700.1016,-122.36968,47.668663,0
16000105313,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 23:11:00,Q,7000.3021,-122.35475,47.624577,3
16000105245,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,2016-03-26 23:19:00,E,7500.4007,-122.31554,47.614693,2
16000105233,350,HAZARDS,HAZARDS,HAZARDS,2016-03-26 23:03:00,M,8100.2008,-122.3387,47.610744,1
16000105228,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 23:18:00,E,7500.4007,-122.31554,47.614693,1
16000105172,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",2016-03-26 23:01:00,H,5301.201,-122.31312,47.66218,2
16000105167,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 23:15:00,D,7200.1001,-122.34104,47.624546,3
16000105110,350,HAZARDS,HAZARDS,HAZARDS,2016-03-26 23:03:00,J,3500.2,-122.34683,47.675983,2
16000105005,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 23:06:00,W,12100.2013,-122.37875,47.505516,3
16000105352,440,MOTORIST ASSIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 23:27:00,F,11200.2062,-122.33711,47.53981,3
16000105349,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-26 23:33:00,F,10800.3009,-122.36167,47.55672,0
16000105328,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 23:20:00,K,9200.101,-122.323746,47.600025,1
16000105301,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 23:31:00,Q,6700.3012,-122.34754,47.630165,3
16000105243,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 23:38:00,E,7401.2004,-122.320915,47.62256,0
16000105234,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2016-03-26 23:20:00,K,8100.1047,-122.33744,47.602676,4
16000105150,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2016-03-26 23:20:00,M,8100.3001,-122.33946,47.609055,2
16000105365,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-27 00:03:00,U,4301.2012,-122.30062,47.66926,1
16000105364,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 23:53:00,U,2200.3014,-122.27535,47.692142,1
16000105355,246,"NOISE DISTURBANCE, RESIDENTIAL",NOISE DISTURBANCE,DISTURBANCES,2016-03-26 23:58:00,E,7500.4007,-122.31685,47.614685,3
16000105246,31,STRONG ARM ROBBERY,ROBBERY,ROBBERY,2016-03-26 23:47:00,C,7900.4,-122.309494,47.615864,1
16000105212,30,ARMED ROBBERY,GUN CALLS,ROBBERY,2016-03-26 23:57:00,S,11700.2025,-122.28485,47.518997,4
16000105208,71,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,2016-03-26 22:32:00,H,9100.2007,-122.32376,47.597507,1
16000105192,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 23:42:00,O,10402.1027,-122.311134,47.548885,4
16000105176,161,TRESPASS,TRESPASS,TRESPASS,2016-03-26 23:46:00,B,4600.2002,-122.33356,47.67207,4
16000105078,71,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,2016-03-26 23:44:00,R,10300.301,-122.28626,47.548897,3
16000104885,30,ARMED ROBBERY,GUN CALLS,ROBBERY,2016-03-26 23:52:00,H,9500.4004,-122.29816,47.57835,2
16000105384,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 00:08:00,H,9200.2014,-122.33027,47.600876,2
16000105371,202,ALACAD - COMMERCIAL PANIC (FALSE),PANIC ALACAD (FALSE),FALSE ALACAD,2016-03-27 00:12:00,B,5000.1041,-122.33886,47.661385,2
16000105284,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-27 00:03:00,H,8100.3013,-122.34022,47.607365,1
16000105268,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-27 00:04:00,L,1200.1006,-122.31786,47.70939,3
16000105393,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-27 00:26:00,D,8001.2009,-122.345,47.613655,1
16000105376,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-27 00:20:00,H,1000.2,-122.290764,47.70837,1
16000105372,260,"ANIMALS - INJURED, DEAD, DANGEROUS",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,2016-03-27 00:20:00,E,7500.4015,-122.32079,47.614655,2
16000105353,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 00:17:00,B,3200.4018,-122.39507,47.668644,2
16000105052,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",2016-03-27 00:10:00,U,5301.2003,-122.315254,47.664013,2
16000105402,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-27 00:41:00,E,7402.101,-122.32086,47.619324,2
16000105397,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 00:27:00,M,8100.3011,-122.34288,47.609814,1
16000105392,161,TRESPASS,TRESPASS,TRESPASS,2016-03-27 00:36:00,H,4700.4007,-122.38474,47.66982,1
16000105391,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-27 00:39:00,M,8100.2015,-122.33835,47.609516,2
16000105390,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-27 00:39:00,U,4400.4009,-122.31193,47.66566,2
16000105386,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 00:22:00,H,10402.4021,-122.31348,47.553444,2
16000105381,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 00:47:00,C,6200.3012,-122.305695,47.63718,1
16000105377,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 00:49:00,R,10100.2013,-122.28801,47.563457,3
16000105366,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 00:30:00,H,4700.4002,-122.38616,47.671642,3
16000105329,246,"NOISE DISTURBANCE, RESIDENTIAL",NOISE DISTURBANCE,DISTURBANCES,2016-03-27 00:28:00,W,10702.101,-122.37501,47.549225,4
16000105304,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-27 00:38:00,Q,7000.3022,-122.35671,47.62458,4
16000105279,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-27 00:39:00,N,1400.2015,-122.35478,47.705082,4
16000105277,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-27 00:32:00,U,5301.2008,-122.31526,47.663105,4
16000105200,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",2016-03-27 00:36:00,N,1400.2015,-122.35546,47.70599,2
16000105408,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-27 00:52:00,M,8100.2011,-122.33512,47.61018,0
16000105407,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 00:49:00,R,10300.2001,-122.279655,47.553402,0
16000105276,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 00:43:00,R,9400.3003,-122.304245,47.58451,1
16000105182,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-27 00:49:00,U,4400.2013,-122.31495,47.671703,3
16000105179,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-27 00:43:00,J,3100.1007,-122.386475,47.68775,1
16000105415,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 01:02:00,Q,5900.4034,-122.37031,47.639595,2
16000105410,139,GANG GRAFFITI,PROPERTY DAMAGE,PROPERTY DAMAGE,2016-03-27 00:56:00,E,8400.3008,-122.32619,47.614082,2
16000105409,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,2016-03-27 00:56:00,B,4700.3021,-122.3749,47.668667,0
16000105389,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-27 00:59:00,K,8100.2043,-122.331985,47.601715,0
16000105388,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 01:00:00,J,4600.1,-122.325966,47.680508,0
16000105343,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 00:52:00,C,7900.4,-122.309494,47.615864,1
16000105333,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-27 00:59:00,H,6100.2012,-122.32006,47.642273,1
16000105266,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,2016-03-26 23:58:00,J,2800.2003,-122.35386,47.68402,4
16000105173,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-27 00:54:00,G,9000.2033,-122.31344,47.596653,3
16000105096,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-27 00:53:00,G,9400.2003,-122.31026,47.594215,1
16000105424,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 01:07:00,M,7200.1067,-122.3409,47.612396,3
16000105421,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 01:01:00,R,9400.4013,-122.313805,47.581013,4
16000105412,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 01:01:00,U,5302.2012,-122.31908,47.65442,1
16000105387,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-27 01:02:00,E,7500.4015,-122.32079,47.614655,1
16000105362,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 01:01:00,R,9500.4003,-122.29518,47.57925,0
16000105356,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 00:31:00,E,7500.4006,-122.31814,47.614094,2
16000105351,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-27 01:01:00,J,1702.3011,-122.37141,47.69516,2
16000105348,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 01:03:00,C,7800.401,-122.289604,47.620148,2
16000105321,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-27 01:01:00,B,4700.2075,-122.36969,47.66147,4
16000105305,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,2016-03-27 01:00:00,E,8300.1003,-122.32811,47.61007,4
16000105154,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 01:02:00,E,8400.1008,-122.32077,47.613518,3
16000105295,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,2016-03-27 01:17:00,R,10002.202,-122.310745,47.57642,1
16000105125,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 01:15:00,N,401.2017,-122.358246,47.726196,3
16000105436,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 01:22:00,D,8002.2005,-122.34586,47.61299,1
16000105434,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-27 01:35:00,Q,7100.2002,-122.35414,47.619762,2
16000105431,161,TRESPASS,TRESPASS,TRESPASS,2016-03-27 01:27:00,H,9300.1024,-122.31728,47.592686,0
16000105423,161,TRESPASS,TRESPASS,TRESPASS,2016-03-27 01:26:00,D,7300.1019,-122.334274,47.62258,3
16000105413,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-27 01:29:00,E,7500.4014,-122.31815,47.614674,2
16000105398,74,LICENSE PLATE THEFT OR LOSS,CAR PROWL,CAR PROWL,2016-03-27 01:26:00,E,8400.1001,-122.32344,47.616364,3
16000105239,31,STRONG ARM ROBBERY,ROBBERY,ROBBERY,2016-03-27 01:25:00,S,11002.3006,-122.29835,47.54453,1
16000105118,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 01:31:00,R,10001.1022,-122.30177,47.57112,1
16000105464,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 01:52:00,C,7500.2009,-122.31396,47.614117,2
16000105461,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 01:45:00,D,8001.2005,-122.34782,47.614143,3
16000105460,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-27 01:54:00,F,11401.2008,-122.35912,47.524696,2
16000105457,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 01:40:00,K,9200.2028,-122.33081,47.600464,1
16000105442,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 01:56:00,E,8600.1003,-122.31678,47.610977,3
16000105369,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 01:37:00,N,1800.2002,-122.34349,47.69418,2
16000105359,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 01:46:00,H,4600.1013,-122.34008,47.668106,1
16000105342,181,NARCOTICS ACTIVITY REPORT,NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,2016-03-27 01:46:00,M,7200.1066,-122.34046,47.612732,3
16000105337,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-27 01:42:00,B,4700.3001,-122.37489,47.67236,2
16000105336,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-27 01:56:00,J,2900.3013,-122.36467,47.682526,1
16000105115,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-27 01:41:00,C,7700.401,-122.29609,47.620174,2
16000105484,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-27 02:13:00,Q,7100.2019,-122.3548,47.6186,3
16000105483,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 02:10:00,K,9200.2028,-122.33081,47.600464,3
16000105476,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-27 02:05:00,B,4900.202,-122.35136,47.65148,3
16000105474,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 02:04:00,R,10100.2013,-122.28801,47.563457,2
16000105468,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 01:52:00,M,8100.3003,-122.34002,47.608818,1
16000105439,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-27 01:53:00,N,1300.2008,-122.343315,47.704144,3
16000105406,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-27 02:03:00,F,11401.1006,-122.36044,47.530975,0
16000105224,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-27 01:53:00,N,1800.2003,-122.34456,47.693825,3
16000105119,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,2016-03-27 02:07:00,H,11402.1022,-122.36935,47.521038,1
16000105463,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-27 02:15:00,W,9600.2012,-122.38651,47.582096,0
16000105462,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-27 02:24:00,S,11102.3,-122.27027,47.536957,2
